,index,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
0,149,US,"Smashed blackberry and blueberry fruit are enhanced by burned caramel, heavy slate and touches of soy and smoke on the nose. There's great depth in both body and flavors once sipped, with a layer of fine-grained tannins revealing teriyaki, black plum, boysenberry and touches of lavender.",Destruction Level,91,35.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Wrath 2013 Destruction Level Red (Monterey),Rhône-style Red Blend,Wrath
1,164,Chile,"This blend of Cabernet Sauvignon, Syrah and Merlot opens with blackened aromas of charred oak and creosote, but it quickly sheds that oak-heavy character to display toasty flavors of olives, herbs and berry fruits. All together, this is a classic Chilean red blend, with fine tannins and patented lightly herbal, balsamic flavors. Drink through 2020.",Condesa Real Premium Blend,91,29.0,Aconcagua Valley,,,Michael Schachner,@wineschach,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Conde de Velázquez
2,165,Chile,"Dry, briary aromas of field brush, black olive, herbs, berry fruits and saucy tomato are textbook Maipo. This is fresh, a touch choppy, and not overly heavy. Flavors of cassis, plum and vanilla carry over to the finish, which is fresh and bolstered by fine natural acidity. Drink through 2022.",20 Barrels,91,32.0,Maipo Valley,,,Michael Schachner,@wineschach,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur
3,198,US,"This is a soft, well-crafted wine from the eastern side of St. Helena that's both classic in its dried herb, tobacco and tea aromas and fruity with red currant and cranberry notes.",Four Soil Mélange,90,60.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequum
4,214,US,"This is a big, brawny expression of Grenache, Mourvèdre, Syrah and Counoise, the Grenache playing the dominant role in the blend. It coats the palate in dense raspberry and blueberry fruit, seasoned with pepper and nutmeg. A leathery touch to the texture and lifted acidity keeps it from feeling heavy or overdone.",Verah,90,36.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Mounts 2014 Verah Red (Dry Creek Valley),Rhône-style Red Blend,Mounts
5,785,Argentina,"This is a highly particular, funky blend of 85% Malbec and 15% Cabernet. It opens with savory stewy earthy aromas of berry fruits and prune. Due to the 15.5% abv, this feels heavy and clampy, with rooty flavors of baked berry fruits, cola, minty herbs and carob. An oaky spicy toasty finish with heat is the closing act on this fully stuffed Salta blend.",,90,25.0,Other,Salta,,Michael Schachner,@wineschach,San Pedro de Yacochuya 2012 Red (Salta),Red Blend,San Pedro de Yacochuya
6,797,France,"Produced from 30-year-old vines, this 55% Cabernet Sauvignon wine is firm with tannins as well as black-currant fruit. It is balanced with the potential to become a fruity wine with a soft texture. The acidity will keep it crisp and on point. Drink from 2018.",,90,20.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château La Branne 2014  Médoc,Bordeaux-style Red Blend,Château La Branne
7,798,France,"With ripe Merlot dominating this fine, blackberry flavored wine, it is fruity and rich. The acidity gives a crisper edge to the wine while the tannins come from a dry core. It is a wine in progress, full of potential and likely to be ready to drink from 2018.",,90,17.0,Bordeaux,Fronsac,,Roger Voss,@vossroger,Château Mayne Vieil 2014  Fronsac,Bordeaux-style Red Blend,Château Mayne Vieil
8,876,Spain,"Ripe and sweet, with lush, raisiny aromas. The palate is flush, deep and layered, with baked berry, prune, toast and coffee flavors. This is a lot like Vall Llach's signature '07, but it's a bit more restrained and at $50 it's a better deal than the $95 wine. Still, it's a heavyweight to drink now through 2013.",Idus,90,50.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Vall Llach 2007 Idus Red (Priorat),Red Blend,Vall Llach
9,882,US,"Here's a big, rich, fruity Cabernet that satisfies for its array of blackberry, cherry, currant, mineral and oak flavors. It's dry and tannic, and the overall quality is quite high. The price makes it a good Buy. Drink through 2014",,90,22.0,California,Napa Valley,Napa,,,Fuse 2009 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Fuse
